fact_key,country_key,quarter_key,product_key,specialty_key,channel_key,feedback_key,product_details,contact_number,mentions,weighted_calls,spending_total_eur,quality_index,converted_contacts
800,3,20261,1,2,21,300,88,88,88,76,2382,440,88.0
803,3,20233,1,2,21,307,27,27,27,27,789,135,27.0
804,3,20241,1,2,21,307,31,31,31,31,915,155,31.0
806,3,20243,1,2,21,307,33,33,33,33,990,165,33.0
809,3,20261,1,2,21,307,30,30,30,30,935,150,30.0
810,3,20221,1,2,21,337,28,28,28,28,741,140,28.0
812,3,20223,1,2,21,337,28,28,28,28,791,140,28.0
814,3,20244,1,2,21,339,33,33,33,33,1006,165,
818,3,20231,1,2,21,383,78,78,78,78,2231,390,78.0
819,3,20232,1,2,21,383,26,26,26,26,757,130,26.0
821,3,20233,1,2,21,383,27,27,27,27,789,135,27.0
824,3,20241,1,2,21,383,31,31,31,31,915,155,31.0
829,3,20223,1,2,21,390,28,28,28,28,791,140,
830,3,20224,1,2,21,390,26,26,26,26,745,130,
832,3,20231,1,2,21,390,26,26,26,26,744,130,
834,3,20232,1,2,21,390,26,26,26,26,757,130,
836,3,20233,1,2,21,390,27,27,27,27,789,135,
838,3,20234,1,2,21,390,28,28,28,28,832,140,
845,3,20223,1,7,2,47,61,61,61,37,2069,-305,61.0
849,3,20232,1,7,2,47,59,59,59,59,3439,-295,59.0
851,3,20233,1,7,2,47,60,60,60,60,3509,-300,60.0
855,3,20251,1,7,2,47,49,49,49,29,1783,-245,49.0
857,3,20221,1,7,2,49,62,62,62,37,1972,-310,62.0
862,3,20224,1,7,2,50,134,134,134,107,6144,-670,134.0
864,3,20231,1,7,2,50,57,57,57,57,3262,-285,57.0
866,3,20232,1,7,2,50,118,118,118,118,6878,-590,118.0
871,3,20242,1,7,2,50,104,104,104,104,6242,-520,104.0
872,3,20243,1,7,2,50,54,54,54,54,3244,-270,54.0
873,3,20244,1,7,2,50,55,55,55,55,3357,-275,55.0
878,3,20261,1,7,2,50,46,46,46,46,2869,-230,46.0
880,3,20233,1,7,2,74,60,60,60,60,3509,-300,
881,3,20221,1,7,2,78,62,62,62,62,3287,-310,
883,3,20231,1,7,2,99,57,57,57,57,3262,-285,
887,3,20223,1,7,2,117,61,61,61,31,1724,-305,61.0
888,3,20233,1,7,2,122,60,60,60,60,3509,-300,
889,3,20241,1,7,2,123,53,53,53,53,3131,-265,
890,3,20244,1,7,2,127,55,55,55,22,1343,-275,
893,3,20251,1,7,2,128,49,49,49,25,1486,-245,
895,3,20254,1,7,2,10,52,52,52,52,3242,0,
897,3,20241,1,7,2,145,53,53,53,53,3131,0,
898,3,20252,1,7,2,149,49,49,49,29,1805,0,
900,3,20221,1,7,2,155,62,62,62,25,1315,0,62.0
902,3,20222,1,7,2,155,122,122,122,98,5440,0,122.0
903,3,20223,1,7,2,155,61,61,61,18,1035,0,61.0
907,3,20243,1,7,2,155,54,54,54,3,162,0,54.0
909,3,20251,1,7,2,155,49,49,49,15,892,0,49.0
911,3,20252,1,7,2,155,49,49,49,49,3009,0,49.0
914,3,20232,1,7,2,160,59,59,59,30,1720,0,59.0
915,3,20243,1,7,2,160,54,54,54,32,1946,0,54.0
920,3,20232,1,7,2,161,59,59,59,59,3439,0,59.0
921,3,20241,1,7,2,161,53,53,53,53,3131,0,53.0
923,3,20242,1,7,2,161,52,52,52,52,3121,0,52.0
925,3,20244,1,7,2,161,55,55,55,55,3357,0,55.0
928,3,20252,1,7,2,161,49,49,49,49,3009,0,49.0
930,3,20254,1,7,2,161,52,52,52,52,3242,0,52.0
931,3,20261,1,7,2,161,91,91,91,91,5679,0,91.0
933,3,20221,1,7,2,162,124,124,124,124,6574,0,124.0
938,3,20232,1,7,2,162,59,59,59,35,2063,0,59.0
941,3,20234,1,7,2,162,122,122,122,49,2902,0,122.0
943,3,20241,1,7,2,162,106,106,106,64,3757,0,106.0
945,3,20242,1,7,2,162,52,52,52,26,1561,0,52.0
947,3,20244,1,7,2,162,55,55,55,11,671,0,55.0
950,3,20252,1,7,2,162,49,49,49,2,150,0,49.0
952,3,20261,1,7,2,162,45,45,45,23,1405,0,45.0
955,3,20222,1,7,2,163,122,122,122,122,6800,0,122.0
957,3,20231,1,7,2,163,57,57,57,29,1631,0,57.0
963,3,20242,1,7,2,166,52,52,52,52,3121,0,52.0
965,3,20244,1,7,2,166,55,55,55,33,2014,0,55.0
968,3,20253,1,7,2,166,49,49,49,10,606,0,49.0
970,3,20254,1,7,2,166,52,52,52,31,1945,0,52.0
971,3,20234,1,7,2,167,61,61,61,61,3627,0,61.0
975,3,20243,1,7,2,170,54,54,54,22,1298,0,54.0
977,3,20221,1,7,2,171,62,62,62,37,1972,0,62.0
980,3,20223,1,7,2,171,61,61,61,61,3449,0,61.0
984,3,20233,1,7,2,171,60,60,60,36,2105,0,60.0
985,3,20241,1,7,2,171,53,53,53,32,1879,0,53.0
986,3,20242,1,7,2,171,52,52,52,31,1873,0,52.0
988,3,20254,1,7,2,171,52,52,52,31,1945,0,52.0
990,3,20221,1,7,2,172,62,62,62,25,1315,0,62.0
992,3,20222,1,7,2,172,61,61,61,24,1360,0,61.0
994,3,20223,1,7,2,172,61,61,61,24,1380,0,61.0
997,3,20231,1,7,2,172,114,114,114,114,6524,0,114.0
999,3,20232,1,7,2,172,59,59,59,59,3439,0,59.0
1001,3,20233,1,7,2,172,60,60,60,36,2105,0,60.0
1002,3,20234,1,7,2,172,61,61,61,61,3627,0,61.0
1004,3,20241,1,7,2,172,106,106,106,85,5010,0,106.0
1008,3,20244,1,7,2,172,55,55,55,33,2014,0,55.0
1011,3,20252,1,7,2,172,98,98,98,59,3611,0,98.0
1013,3,20253,1,7,2,172,49,49,49,29,1818,0,49.0
1015,3,20261,1,7,2,172,137,137,137,101,6277,0,137.0
1016,3,20231,1,7,2,173,57,57,57,17,979,0,57.0
1018,3,20241,1,7,2,173,53,53,53,53,3131,0,53.0
1020,3,20243,1,7,2,173,54,54,54,22,1298,0,54.0
1021,3,20244,1,7,2,173,110,110,110,55,3357,0,110.0
1023,3,20251,1,7,2,173,98,98,98,34,2081,0,98.0
1025,3,20252,1,7,2,173,49,49,49,49,3009,0,49.0
1028,3,20261,1,7,2,173,136,136,136,82,5117,0,136.0
1031,3,20222,1,7,2,174,61,61,61,37,2040,0,61.0
1033,3,20223,1,7,2,174,61,61,61,61,3449,0,61.0
1036,3,20231,1,7,2,174,57,57,57,34,1957,0,57.0
1038,3,20232,1,7,2,174,59,59,59,59,3439,0,59.0
1043,3,20243,1,7,2,174,108,108,108,86,5190,0,108.0
1045,3,20253,1,7,2,174,49,49,49,29,1818,0,49.0
1047,3,20254,1,7,2,174,52,52,52,21,1297,0,52.0
1048,3,20261,1,7,2,174,46,46,46,28,1721,0,46.0
1052,3,20234,1,7,2,192,61,61,61,9,544,0,
1055,3,20241,1,7,2,213,53,53,53,53,3131,0,
1059,3,20243,1,7,2,244,54,54,54,54,3244,0,
1060,3,20261,1,7,2,244,45,45,45,45,2810,0,
