portfolio_key,portfolio_name,atc4_raw,atc4_code,atc4_description,corporation_group,molecule_list,molecule_count,is_combo_molecule,has_sales,has_promo,has_finance,is_common_three_worlds
98,INDERAL,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",PHARMAIDEA,PROPRANOLOL,1,False,False,True,False,False
99,SUMIAL,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",PHARMAIDEA,PROPRANOLOL,1,False,False,True,False,False
100,SUMIAL,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",PHARMANOVIA,PROPRANOLOL,1,False,False,True,False,False
101,TENORMIN,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",PHARMANOVIA,ATENOLOL,1,False,False,True,False,False
102,NOZAC,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",PHARMAZAC,NEBIVOLOL,1,False,False,True,False,False
103,HEMANGIOL,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",PIERRE FABRE,PROPRANOLOL,1,False,False,True,False,False
104,CARAVEL,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",PROSPA,CARVEDILOL,1,False,False,True,False,False
105,ERVIDOL,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",RAFARM,CARVEDILOL,1,False,False,True,False,False
106,BELOKEN,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",RECORDATI,METOPROLOL,1,False,False,True,False,False
107,LOPRESOR,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",RECORDATI,METOPROLOL,1,False,False,True,False,False
108,SELOKEN,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",RECORDATI,METOPROLOL,1,False,False,True,False,False
109,COROPRES,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",RUBIO,CARVEDILOL,1,False,False,True,False,False
110,SOTAPOR,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",RUBIO,SOTALOL,1,False,False,True,False,False
111,COLVER,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",S.F.GROUP,CARVEDILOL,1,False,False,True,False,False
112,CORDIAX,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",S.F.GROUP,CELIPROLOL,1,False,False,True,False,False
113,LOCARD,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",S.F.GROUP,CARVEDILOL,1,False,False,True,False,False
114,NEBICARD,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",S.F.GROUP,NEBIVOLOL,1,False,False,True,False,False
115,TENOMAX,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",S.F.GROUP,ATENOLOL,1,False,False,True,False,False
116,LABETALOLO SAL,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SALF,LABETALOL,1,False,False,True,False,False
117,ATENOLOL SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SANDOZ,ATENOLOL,1,False,False,True,False,False
118,BISOPROLOL COR SAN,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SANDOZ,BISOPROLOL,1,False,False,True,False,False
119,BISOPROLOL SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SANDOZ,BISOPROLOL,1,False,False,True,False,False
120,BISOPROLOLO SAN,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SANDOZ,BISOPROLOL,1,False,False,True,False,False
121,CARVEDILOL SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SANDOZ,CARVEDILOL,1,False,False,True,False,False
122,CARVEDILOLO HEX,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SANDOZ,CARVEDILOL,1,False,False,True,False,False
123,CARVEDILOLO SAN,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SANDOZ,CARVEDILOL,1,False,False,True,False,False
124,METOPROLOLO HEX,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SANDOZ,METOPROLOL,1,False,False,True,False,False
125,NEBIVOLOL SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SANDOZ,NEBIVOLOL,1,False,False,True,False,False
126,NEBIVOLOLO SAN,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SANDOZ,NEBIVOLOL,1,False,False,True,False,False
127,SOTALOLO HEX,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SANDOZ,SOTALOL,1,False,False,True,False,False
128,ACARDEN,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SO.SE.PHARM,CARVEDILOL,1,False,False,True,False,False
129,CURCIX,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SO.SE.PHARM,CARVEDILOL,1,False,False,True,False,False
130,NEBISCON,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SO.SE.PHARM,NEBIVOLOL,1,False,False,True,False,False
